description,subcategory,,a
Crew member Sonia 456565 broke the seals on the containers on my side and due to this confusion I logged into her duty free cart   After realizing my mistake I logged into my cart but my data had already been saved onto his hand held computer  my detai,Equipment,,252
"All the recommendations for sales followed: adequate lighting, PA made, promoted in the briefing and onboard , Message sent to the seats, carts fully displayed in the cabin etc   customers were sleeping and showed no interest   Please, note DF operator",DF Done Nil Sales,,252
"At the end of akl dxb flight EK 449, I sealed the social area products container with the duty free gold seal no 7501097659  It was done by mistake due to tiredness and the fact that it was a very busy time of the flight As a result one of the DF 529 c",Seals,,252
"On opening DF cart it was discovered that the HHC screen was frozen and the HHC was inoperable   There was no manual paper work completed from the previous sector and no way to verify the opening seals   opening seal numbers were: A017178848,A016765816",Equipment,,252
business class crew Duty free cart is loaded in economy on B777 aircrafts  feed back from crew is that it is inconvenient to go to the back to collect the cart and bring it back to business class specially on turn around flights with full pax load  the,Equipment,,252
"on Flight EK584 DXB DAC the customer wanted to buy 2 DG Miniatures (item N2167)   on hand computer I selected 1st DG Miniature correctly, but for 2nd DG Miniature I typed the wrong item number on computer by mistake so instead of required item Fervor M",Duty Free Items,,252
unable to log onto the handheld computer for DF837 as the previous Duty free operator had logged onto the bud DXB sector of the flight and had not logged out   previous Duty free operator had made sales on the computer and also completed the manual PAP,Duty Free Items,,252
"The sale of item 2027 5 Tangle Teeter brush was made   The item was out of stock according to the hand held machine but was available in the cart   The cash in amount of 18 usd is present and handed over to the cashier, but sale was not processed by th",Duty Free Items,,252
duty free carts on board are not in sync with seals and tag numbers   hand held computers also mixed on ground in Dubai meaning hand held computer 805 is inside 806 cart   counting stock has been done together between both duty free operators as contai,Seals,,252
Customer ordered continental breakfast instead of continental plateCustomer stated he wanted the cheese and cold plate after receiving the tray Customer had chosen the continental breakfast on the breakfast cardAll continental plates had been given out,Duty Free Items,,252
Crew illness   Michelle Gabriz  379997 3 hours after take off started feeling weak and developing temperature   She took her own medication  Panadol    Her Temp reached 397 and she was very weak   O2 was administered   Tempus used to take some readings,Duty Free Items,,252
"While preparing for boarding, CSV Nenad Kovacevic SN400477 was trying to retrieve the on board wheel chalk from the stowage When the stowage door was open, the wheelchair  The wheel chair was not properly secured Nenad was in a lot of pain, there was b",Duty Free Items,,252
"While Cabin crew Boryana L2  was securing the cabin for take off, Mr Albaser refuse to secure his shoes or wear the shoes Cabin crew Boryana return to the customer after few minutes however the shoes were not secured Cabin crew Boryana explain  the saf",Duty Free Items,,252
"The customer claimed that he ordered an AVML while he was booking online There was not any special meal under the customer's profile, also no special meal was highlighted under the customer's name on the PIL PLEASE PROVIDE THE CUSTOMER AN AVML ON HIS S",Duty Free Items,,252
"Sales were 5700 dhs on this flight, 5000 dhs of which were done by crew Nancy 436570 Target was exceeded by releasing Nancy early from the breakfast service when everyone was awake and letting her make sales till TOD Pre landing duties were done by the",Equipment,,252
Mr Stolyarsky appeared angry and upset He approached cabin crew and stated that he can not rest and the lady next to him is obese He stated that having an obese lady next to him with an infant has caused his flight to be a complete nightmare Mr Stolyar,Equipment,,252
Mr Najjar was unhappy of the service from after take off as he claimed that the breakfast service was not up to the standard as there is no hot meal choices and no nice choice of pastries specially croissant in the bread basket  When CSV offered him cr,Equipment,,252
"Mr Osman came to the aircraft on a wheelchair and he had quiet a heavy cabin bag as he asked the girls to put it up in the barrack, helped by CSV who couldn't left the bag then was helped by male crew Omar During the fight he repeatedly kept asking the",Duty Free Items,,252
MR and Mrs Hempsonmedwell on boarding advised to that they were not seated together They claimed that they were on an earlier flight and were asked by ground staff to be bumped onto another flight but were told that they would be seated together Upon a,Duty Free Items,,252
Mr Alokhalid moved from seat 25E to 25D At approximately 8:30 DXB time (04:30 UTC) Mr Alikhalid Cheema went towards the L5 area and slapped cabin crew member Rowshonara s440837 across the arm and shoulder 3 times It was witnessed by crews: Xiao s442854,Duty Free Items,,252
Mohamed was late for his pick up time in hotel When talked about it he stated that he took the wrong train and by the time he realized he end up being in the traffic When he reached hotel he took taxi to reach the airport however the taxi end up in the,DF Done Nil Sales,,252
"Immediately after take off as soon as seatbelt signs were switched off, customer got up from her seat and walked towards toilet at ML1, when she reached around row 47, she felt dizzy ad fainted Customer could only speak in Japanese Customer was travell",Equipment,,252
"Henrique demonstrated great team work spirit, Henrique was observed ensured service style was confident and professional He has very friendly smile on his face Henrique worked very hard, he was observed being helpful and prompt in the galley and cabin,",Duty Free Items,,252
Hassan enrolled 15 new customers into the Skyward program during this sector DXB BOS and enrolled 11 customers in the return sector BOS DXB Hassan managed the new enrolment during non service time Hassan was very friendly and approachable towards our c,Seals,,252
during service ccm anja (451916)offered her a tray customer mentioned she would like it later  ccm asked to save her a meal choice which customer said no I'm fine later  ccm informed her the meal cannot be reheated to which customer responded saying it,Duty Free Items,,252
"During lunch service tray clearance crew Asmaa, staff number 453420, was putting dirty trays inside the cart when Mr Nottoli and his travel companion who seated a row in front of Asmaa's cart asked her to clear their tray Asmaa stated that she politely",Seals,,252
"During boarding and settling in, Mr Alhajeri started to shout at different GR1 crew members in JC while conversing, and showed signs of frustration and short temper He claimed that he pressed the call bell and waited for a long time, and nobody attende",Duty Free Items,,252
"Due to an over seven hours delay, additional uplift of catering for crew was requested Requested 17 hot meals for crew to eat since the actual load was breakfast for a flight expected to land back at DXB at 12:30 and an actual landing at 19:10 The tray",Equipment,,252
"Customer was upset as , During lunch service cabin crew gilyam by mistake served customer Arabic mezze, where as customer had requested for soup and cheese together    Customer cutlery pack was dirty ( knives )  Customer was observed removing the mattr",DF Done Nil Sales,,252
"Customer was supposed to sit at 6D,6E,6F but the other customer took his seat by themselves because they were travelling with infant(There was no baby bassinet seat except 6D,E,F) Mr Bontemps gave his seat to the customer who travelling with infant but",Seals,,252
Customer stated that he was very impressed with the service provided  He said that he was very well taken care of and it was one of his best inflight experience He also stated that he loved the interiors of the new aircraft and finds it more classy and,Seals,,252
Customer stated that he purchased a bottle of champagne three days before the flight  He mentioned that he did it on the phone and he paid 70 UK pounds for it however could not produce a receipt  Mr Edwards did not had a confirmation of the transaction,Seals,,252
Customer Ms Helou 54K traveling with Mr Vles 54H asked during boarding if their bags had made it on the flight Upon talking with them they informed me that during their whole trip that they have had very bad service from Emirates Customer's baggage was,Equipment,,252
Customer complaints about service flow  YC full customer load and 6 crew compliment leaded to a slower service flow which affected the customers experience  Many customers were complaining of getting their meals and drinks late and their meal trays bei,Seals,,252
Customer boarded the aircraft and was unhappy with the seat configuration stating that 3 seats in a row is very impractical He also mentioned that he prefers 380 aircraft due to this seating arrangement Customer also claimed that hiss eat was very narr,Duty Free Items,,252
Customer and family members expressed their unhappiness due to unavailability of non veg option when the cart reached their seats for their service  Customers claimed that on previous flight from cape town their preferred choice was also unavailable Co,Duty Free Items,,252
Customer Alqaisi was seated in business class cabin 11K after boarding was completed On introducing myself to customers I asked Mr Alqaisi to confirm his name  as we had an extra  customer in the cabin Mr Alqaisi insisted he paid for a business class s,Duty Free Items,,252
CSV Sandamalee Mudiyanselage s254892 informed myself that there were problems with the Y class service as done using the 'meal order' print outs  Customers informed myself that the service was very slow Crew members informed myself that the customers i,Duty Free Items,,252
CCM Talisa Lomax s418741 informed myself that she was not feeling well at about 22:15 GMT She informed myself that she was feeling nauseous and had to use the washroom 3 4 times inflight She informed myself that she had taken one tablet of immodium 22:,Duty Free Targets,,252
Catering provided 26 Child meal however the passenger information list showed 30 pre  ordered child meal Four customer had to be informed that there was no more child meal available Customers didn't seem to be pleased and some stated that its the secon,Seals,,252
"30 survey form were distributed to all crew in the briefing out of Luanda , 3 for each , focusing on the importance of having the survey forms completed   Briefed the crew from the beginning of the flight, that I will be writing VR regarding the survey",Seals,,252
The customer said that his choice of hot meal during breakfast service was not available in the meal cart that served him and claimed that he waited for 15 minutes before the cabin crew have attended back to him with the hot meal The customer then requ,Duty Free Items,,252
"The customer approached the crew asking to remove the lady who sat next to her at 61C  She said she was hoping to stretch her legs and rest on the flight, also highlighted the fact she paid to have a window seat  According to Mrs Remizova, the lady was",Equipment,,252
"Survey forms handed out on DXB DEL sector  Due to departure time being  0400 hers, customers who accepted the forms, slept through the flight and returned them incomplete or without filling them  Crew offered the survey forms as per requirement and ret",Duty Free Items,,252
Salvador volunteered to operate the aft galley during our flight and excelled into leading the team and assigning tasks during the flight  Salvador made sure every step is prepared as per our service standards and followed up the carts before being tak,Duty Free Items,,252
"Mr Valentino complained to me about his travel companions and claimed they were loud when talking and this made him unable to sleep  Mr Valentini informed me that a lady seated at complained that Mr Valentini's travel companions were loud, which made M",Duty Free Items,,252
"Excellent performance     Mostafa displayed high knowledge skills in both sectors  DXB   IAD sector I had the chance to come to JC several times for different reasons and at those times I have observed Mostafa very organised in the galley, polite to hi",Duty Free Items,,252
"During boarding Ms nagib and her sister moved to 49AB  When  the customer seated at  49A arrived at his seat Ms Nagib and her sister told the customer to move to their seats at 45B, 45C  the customer moved to the ladies assigned seats, within a few min",Duty Free Items,,252
Dr Bahani boarded from L1 with his wife  He then mentioned to me that they were not seated together and if I could assist with that  I informed him that his wife's boarding pass was a YC seat  He was very shocked and he removed his phone to show me his,Equipment,,252
Dr Blandford takes this trip to Mauritius with her mother (1F) every year and exactly 1year and 6 days was the last one and she commented and showed me a picture from her last trip and the menu was exactly the same except for the Canapes  She simply st,Duty Free Items,,252
Customers complained about the fish starter They stated was not good and that they couldn't eat it  They also complained about the fish as main course as they stated it was too salty  Few customers complained about the main course beef as some of the b,Duty Free Items,,252
"Customer upset when asked to place his carry ones in barrack  During boarding, Mr Nikitin left his bags on the floor, in the aisle between 45G & 45H  He then proceeded to his seat 42K along with his wife seated at 42J  When asked by CC Delia McNamara S",Duty Free Items,,252
Customer said for the second lunch service the children did not like to CHML meal choices so for the lunch we were able to provide a additional meal choice as we had additional grilled chicken available  The customers were waiting approximately 10 15 m,Equipment,,252
"Customer requested to speak to the Arabic speaker while disembarking  She was very upset with cabin crew member Seungmin Pyung, staff no: 451889, she claimed that before landing she asked the crew member many times to bring back her jacket and the crew",Duty Free Items,,252
"Customer moved to 4 seats without asking permission  Customer has to move back to his original seat as the 4 seats was needed to put a family of 4 people traveling together  Customer complain about been ask to moved back, and claimed that he had receiv",Duty Free Targets,,252
"Crew rest in flight was 03 hours and 20 minutes at guidelines for main deck CRC   9 bunks  Due to services, loads and flight time approximately being an hour shorter than block time, crew rests were reduced by 10 minutes, resulted at 03 hours 10 minute",Equipment,,252
Crew Rest      CC Sotiria Kaltsouni s418752 was suppose to be resting on the 1st break and she made a mistake and didn't go on the first break  Crew assumed that she is on the 2nd  break  During the second break she didn't have a bunk to sleep in where,DF not done,,252
All customers boarded via L1 door and were escorted to their suites  Pre departure duties completed in full on ground  Menus and wine lists were distributed on ground by myself during delay to departure (only customers in 2EF wanted to eat and accepted,Seals,,252
"hand held computer was going on and off low battery, all batteries out of power was not able to count opening stock,  tried to count through ABC paper work but failed as all the items were moved from one drawer to another sold duty free and finished a",Duty Free Items,,251
DF 633   Aircraft Reg A6EUP  Terminal 2121365  ISR 118028080002  Crew 437705 After returning Home Crew realized he forgot to seal the 2 duty free containers   Metal Seals on Cart was used   Metal Seals on containers DF633 was not sealed   Affected sea,Seals,,251
"Crew member Kejia Guo (300042), assigned R1 with duty free cart number DF839   Upon preparing cart for duty free sales and while counting the items, Drawer number 1 was found soaked wet and items packages were damaged   Handheld computer was inop from",Duty Free Items,,251
At top of descent crew member was asked by the customer of whom she sold item 2098 for a refund  In the rush to do the refund and in the rush she resold the item by mistake instead of checking that the item was back in stock after the refund  Crew mem,Duty Free Items,,251
Duty Free not done due to absence of manual paperwork and HHC not working in both carts   Duty Free operators Andrea Bromova 445659 and Anna Jozwiak 412937 submitted 2 separate detailed KIS report regarding the issue mentioned above   KIS report of An,DF not done,,251
Duty free item no2168 Estee Lauder Purse Spray Collection in drawer 11 is missing  It was written on opening stock that the item is available (1item)  Two of the opening seals weren't telly with the seal number written on HHC  Original opening seal nu,Duty Free Items,,251
HHC NUMBER BA01089 PED code 186 000 003  The hand held computer was not functional and could not be used for the duty free service on this sector  There was also a note from the previous operating crew member stating that the device was not functional,Equipment,,251
Niki made a sale of the 'Wallet click and slide' Item  2097 Cart DF455 Drawer to customer seated at 39K  Miss Claire Housden  The customer informed us just after top of decent that she wanted to refund the item that she had paid for on her credit card,Seals,,251
"Duty Free Handheld computer not working Turned on but stated SD card not loaded and couldn't move past that on DF 490  unable to count as could not print opening stock count  white opening seals on cart and containers B020496686, B020496687, B02049668",Equipment,,251
Duty Free products have been updated recently   While filling in C209 paperwork for Duty Free on EK003 on 040618 it was noticed that it was not updated along with the new choice of products we have on board   C209 paperwork was completed only with tho,Paper Work,,251
"When Duty free carts 001, 153 and 154 were opened, the HHC machines were for different carts   HHC machines were for the Duty Free carts available on this sector, however wrongly misplaced inside the carts   Seals on HHC machines were not matching the",Equipment,,251
"DF1079 drawer 6 item 1588 Versace crystals collection is missing   DF operator LIM tried to adjust opening stock, she pressed adjust button on HHC and print the opening stock and HHC auto accepted the opening stock before she managed to adjust the sto",Duty Free Items,,251
"On this sector FG1 Hernan Perez s414275 lost his Duty free pouch which contains credit card payment vouchers and cash valuable for 1,47500 AED The mentioned crew contacted the airport personal at GIG but they confirm they didn't find anything nor have",Duty Free Items,,251
Duty Free seals on containers number 1122 were not sealed properly   Seal numbers are A015806130 and A15806131   The crew Olena suggested her feedback about the difficulty to seal properly the green seals on Duty Free containers when there are locks o,Seals,,251
One duty free item missing from my duty free cart : emirates children pilot 32GB USB (item 2112)from drawer 8 during opening and rechecking   cabin crew misadjust the item on HHC due to incomplete display name of item on the HHC Crew adjusted emirates,Duty Free Items,,251
"HHC defective, it was not possible to log in   Previous sector crew member was showed on the screen with no possibility to sign in or close the previous sector   closing stock was not possible to be printed out  HHC No: 2121910  Duty free Cart and con",Equipment,,251
"Item number 2174 9 (Calvin Klein Eternity for Men) was still in the basket of the HHC from a previously cancelled sale   Customer was accidently charged for the item but did not receive or did not want the item   Transaction was made with credit card,",Duty Free Items,,251
On the sector SYD   DXB while counting the duty free I found there was an item missing from the drawer number 3  Missing item: 2137 ( Emirates USB ) drawer 3   A6  EDO ; EK 413   DF CART NUMBER :859   CLOSING SEALS : 7501077073; 7501077074; 7501077075,Duty Free Items,,251
"Terminal number AN00070 Aircraft registration A6EUB DF cart number DF308 CF Card label UAE1811 ISR  118036330004   The HHC was totally inoperative , could not be switched on after all possible attempts been made   Hence there was no opening stock prin",Equipment,,251
HHC unable to reprint credit Card purchase receipt with square barcode       HHC ran out of paper While CC sale was being printed   no menu option could be found to reprint the barcoded receipt for cardholders signature   only option was to refund sal,Equipment,,251
"The opening stock of my DF cart 050 showed that item 1971 from Drawer 11 that belongs to DF container 050, was not available  Drawer 11normally should be in my colleague's containers DF 049, therefore the missing item 1971 should not showing on my ope",Duty Free Items,,251
Customer bought beauty item 2075 Givenchy travel make up Platte from DF578 to touch up her makeup before landing into Beirut  Duty free item was completely sealed  Upon opening the item after purchase to use it she noticed the eyeliner is missing from,Duty Free Items,,251
"Duty Free Sales was done on this sector, however Nil Sales achieved   Appropriate PA and on screen duty free sales was done prior to starting duty free sales in the cabin   Duty Free Operators : FG1 Tsedalmariam Edris 404332 (R1) & GR1 Floryan Lombard",DF Done Nil Sales,,251
Duty free carts not loaded on the flight   catering supervisor informed us that Due to some loading mistake both Duty free carts were not loaded   He claimed that both carts can not be located as they assume they were loaded on another airplane by mis,DF not done,,251
"DF CART287   After opening the flight on the HHC, the computer screen froze and then cut out   Was able to turn the machine on again and began to transfer an item from cart 288 but again the screen cut out and could not be turned on again   Was unable",Equipment,,251
"HHC barcode number   BA01139    R1 First Class DF operator, (377839) forgot to place the HHC & HHC blue pouch back inside DF237 cart, before sealing it with the red metal seal, back into DXB, from ek353 sin flight   Both DF237 containers were sealed c",Equipment,,251
"Crew member Ishaak Saito (451583) informed me he was missing an item from his duty free   Two opening stocks were varied from each other The initial opening stock on the HHC showed different numbers in stock from the one printed after counting, and wa",Duty Free Items,,251
"when counting the DF cart 1000, I found drawer 8 had one item missing  I asked crew member 434051 to double check and she counted the same  we counted the rest drawers and couldn't find it  we found out the item missing was item No 2060 Fervor Montré",Duty Free Items,,251
Please be informed that one of the DF containers for DF1052 was re sealed to A015981105 instead of red seal 75101002624  Crew Maria Polak s446455 accidentally used red seal 75101002624 to seal minerals container  Green seal A015981105 was used to seal,Seals,,251
"While counting DF 850, it was found out that there were items inside the duty free cart and container that were showing as nil stock However these items are inside the drawers   Drawer no 06  item 1845 (Garden Collection by Hermes)   Drawer no 08 item",Duty Free Items,,251
Due to time constraint and customers' requests between the two services crew members with assigned Duty Free didn't go through the cabin with Duty Free carts   Duty free requests from several customers were attended to and duty free items were sold to,DF not done,,251
"Duty free cart 428 has a missing item 1839 Meisterstuck Wallet 6 after physical inventory has been done   Purser received a message from previous crew that hhcs were mixed with 427 cart, upon inventory it was found out that a lot of items on both cart",Duty Free Items,,251
"Duty free cart 428 has a missing item 1839 Meisterstuck Wallet 6 after physical inventory has been done   Purser received a message from previous crew that hhcs were mixed with 427 cart, upon inventory it was found out that a lot of items on both cart",Duty Free Items,,251
"Upon counting, found that duty free cart number 256 was missing several items and the drawers was left unorganized and some items were not left at the original place   The items per drawer are: 1 drawer   missing item no 2097 7 drawer   missing item n",Duty Free Items,,251
"Upon counting, found that duty free cart number 256 was missing several items and the drawers was left unorganized and some items were not left at the original place   The items per drawer are: 1 drawer   missing item no 2097 7 drawer   missing item n",Duty Free Items,,251
"Upon counting, found that duty free cart number 256 was missing several items and the drawers was left unorganized and some items were not left at the original place   The items per drawer are: 1 drawer   missing item no 2097 7 drawer   missing item n",Duty Free Items,,251
"DF965 HHC was completely inoperative, even after several restart it wasn't coming back on  DF operator was not able to count as HHC did not work  DF items was not counted as we were unable to find out how many products are available in each containers",Equipment,,251
HHD devices was swapped accidentally between me and the other Duty free operator While doing A transfer in and transfer out for One of the Items on DXB ABV sector   Items were sold using the WrONG HHD as there is no indications on the HHD to recognize,Duty Free Items,,251
"DF966 HHC was completely inoperative, even after several restart it wasn't coming back on  DF operator was not able to count as HHC did not work  DF items was not counted as we were unable to find out how many products are available in each containers",DF not done,,251
NIL Duty free sales     On above flight duty free operators were unable to make any sales   Crew details as follows –   R1 duty free operator –YuXuan Yan 418982   L2 duty free operator – Islam Hanafi 425694   This is FYI and for future reference,DF Done Nil Sales,,251
NIL Duty free sales     On above flight duty free operators were unable to make any sales   Crew details as follows –   R1 duty free operator –YuXuan Yan 418982   L2 duty free operator – Islam Hanafi 425694   This is FYI and for future reference,DF not done,,251
NIL Duty free sales     On above flight duty free operators were unable to make any sales   Crew details as follows –   R1 duty free operator –YuXuan Yan 418982   L2 duty free operator – Islam Hanafi 425694   This is FYI and for future reference,DF not done,,251
Customer wanted d to buy item number 2167 5 from page 13 in new DF magazine  Item was not in drawer 5  Number of items in the containers and drawers in the cart were matching the opening stock  Some other items were also not matching the drawer number,Duty Free Items,,251
"DF 1150 drawer no 11 item2092 was transferred to DF1149 on Dxb  ABV sector as informed by the previous crew , they left a copy of a transfer out because the closing stock( DXB ABV) DF1150 shows the product number 2092 was available    DF 1150 drawer n",Duty Free Items,,251
"Seal numbers were incorrect did not match with the handheld seal numbers  Seal 's B020323214 was hanging in the cart broken, B020323216 and B202323215 on containers  Handheld machine numbers were B020323211,B020323212, and B020323213 The following ite",Duty Free Items,,251
Hand held computer HHC stopped working on top of descent right before the last minute sale   From Duty Free cart number DF947 sales been made of those items  FROM DRAWER 5 ITEM 2159 PANDORA   FROM DRAWER 10 ITEM 2143 SWAROVSKY  FROM DRAWER 6 ITEM 1935,Equipment,,251
"Delay due to medical offload (No suitable heading found in KIS menu)Due to an urgent medical case during taxiing for take off and Medical support decision to offload, Aircraft was directed by captain to a remote bay to offload customer and their bags,",Equipment,,251
"The writing kit on Mr Ney's suite had seals intact both sides, however the pen was missing from inside The seal on one side was almost glued on, the other side was looser, so it was easier to open He also pointed out that the biscuits in the FC goodie",DF not done,,251
"MsOrr seat power and remote control did not work for the entire flight  Ms Orr informed us during the breakfast service her remote control, seat power and touch screen are not available  Ms Orr refused to move to 50J or have any reading material offer",Seals,,251
"Mr Leitao complained to crew member Nadija ,453882 while the clearance of breakfast was going on that, the cabin is too cold Cabin temperature according to the system was 24 degrees According to crew members the cabin temperature was fine and not very",Seals,,251
"Mr and MrsCebulla seated at 2E they enjoyed the Champaign, caviar and Arabic mezze  during boarding MrsCebulla requested for small size pyjamas ,we were short of the small size, we apologized and offered her medium size pyjamas ,she was satisfied with",Duty Free Items,,251
"Mr and Mrs Eolini arrived on board upon the boarding commencement When informed about an expected delay, Mr Eolini stated that he was unhappy as he was rushing to be on time for the flight He stated that he was denied boarding ex DXB previously due to",Seals,,251
"Mohamed was a great help on this tiring and challenging trip  He was always organising the galley and ensuring the service was running smoothly, taking on a leadership role When I was on break he took charge of the galley ensuring everything was ready",DF Done Nil Sales,,251
Feedback on the new JC Gin Sipsmith Customer asked to see the new bottle and express his level of surprise that such Gin can be found on EK planes He rated the gin a solid 5 on a scale 510 (10 being best)  Noted that the Gin is a start up company only,Equipment,,251
During cruising customer brought to crew member's Mohab 407062 attention that he was having difficulties connecting to WIFI on his second device Crew member Mohad tried assisting  customer to logon his second device by asking customer to restart his d,Duty Free Items,,251
DF cart 839  ISR 11697358003 Drawer 2 Item number 1948 Reload 5HP 5000mAH was missing Item is missing from the cart because the previous crew forgot to transfer out from the machine The crew wrote the message on the DF label on the cart only  The seal,Seals,,251
"Customer was upset as the crew couldn't provide a coffee  to the customer after landing Customer requested to have an coffee after landing , however crew couldn't make the coffee as there was no galley power Customer looked very upset  Customer did no",Seals,,251
Customer stated she booked and paid for 3 seats however her nephew was not on the flight Seat was allocated to other customer by the ground staff Mrs and Mr Elliott refused to let the other customer take the seat and the flight was overbooked Ground s,Seals,,251
"Customer requested Amarula Cream When presented to the customer, he informed Cabin Supervisor Glendy Gepielago (302046) that the product had expired He became aggressive in his manner asking why we had given him an expired product Code on bottle reads",Duty Free Items,,251
Customer had five alcoholic drinks of gin and tonic and whiskey He Also was served 5 masala nuts with his drinks Customer slept after and did not wish to have breakfast when waking up the customer for landing we found that he has vomited while sleepin,DF Done Nil Sales,,251
"Customer complaint about the meal choice   Nancy s445669 commented that when she told Mr Sidgarthan that she was only left with the veg option she claims that Mr Sidharthan told her silly, you force us to eat this thing   Nancy claims that she apologi",Duty Free Items,,251
"After boarded the aircraft and took her seat 88C, Mrs Kennylevick asked me if she could be upgraded to Business Class cabin Mrs Kennylevick claimed she was told by the ground staff she could ask cabin crew for the complimentary upgrade on board the ai",Equipment,,251
The amount of croissant loaded for breakfast is not enough  There were approximately 16 croissant for a full cabin of 42 passengers  Couple of customers who had a continental breakfast requested a croissant on their tray  A second round of bread could,Duty Free Items,,251
"Securing the cabin for landing Mrs Divya has been asked to put her 2 belongings back to the hatrack and she get angry and rude to the crew She stated that I have kid with me and why I have to put the bag in the hatrack there is vacant seat in between,",Equipment,,251
Paolo was reminded couple of times to work together with the other colleagues and communicate more As he was observed doing his part and not syncing with the service as suppose to be   Paolo on different occasion would not inform anyone and be missing,Equipment,,251
"On a busy flight in Y class , Rachel have suggested that she should go and help out Y class team to complete their service   Rachel made sure that all her duties are done and briefed other team members of her area and customers   Rachel was being very",Duty Free Items,,251
"Mr Wall advised CSV Luis that he had broken a tooth while eating his breakfast  Mr Wall claimed to have bitten into something hard and subsequently his veneer came off into 3 pieces  Mr Wall was eating Eggs Benedict with veal rashes, English muffin, g",Duty Free Items,,251
"Mr Screene was not happy that he cannot have his hot meal 1 hour prior to TOD  Mr Screene stated that he will not fly Emirates anymore  Customer stated the he had a bad experience on ground during transit, customer did not want to    about his experie",Duty Free Items,,251
I would like to thank PHAGAN for her outstanding performance in such a short flight   Flight was delayed 13 hours and since it was a light load in business PHAGAN took the initiatives to come to economy to help her colleagues   PHAGAN was observed bei,Seals,,251
I have been informed by Catering supervisor on this flight that there is trial on Fast track cards and landing health cards being loaded in the Food Audit Container in Economy class on flights with departure time up to 12 pm  During discussion with CS,Equipment,,251
"During the flight the customer seated in 6D was having white wine, while Mr Mall was sleeping  When Mr Mall woke up he accidentally knocked over the white wine glass in the cup holder from customer seated in 6D  Customer thus spilled the white wine on",DF Done Nil Sales,,251
"During the flight customer complained he was having problem with IFE   The menu page kept papering on his screen while he was watching a movie, and then another time, the screen froze   Customer was upset, he claimed he was facing the same issue on hi",Seals,,251
"During boarding, Mr Haroun informed us that he wanted to upgrade He claimed that ground staff told him he can upgrade on board and they cannot upgrade him on ground in Dubai He said that the check in staff didn't bother to check for his upgrade reques",Duty Free Items,,251
"Customer was travelling in the group  As per the ground staff one the customer from the group said he will be going for a smoke and sent the family to board but then changed his mind for not travelling  All the bags were checked in, in the name of the",DF Done Nil Sales,,251
Customer stated that he was upset the customer at 25K kept complaining about her vegetarian   Customer stated that she had been complaining since take off and was disrupting other customers rest and peace   Mr Emberger told the customer to stop compla,Duty Free Items,,251
Customer displayed strange behaviour on today's flight as well  Mr Loraine kept on switching from a polite attitude to rude with the same crew member repeatedly  Customer also offered AED to crew member Abdul so that he may bring him another short bre,Duty Free Targets,,251
Can you please clarify if cabin crew must conduct the safety and security searches while the number of catering staff are doing their job with extra doors opened?  EK380 26 Jan 2018 we boarded the aircraft and I noticed that catering staff just commen,Duty Free Items,,251
After the boarding when I went to introduce my self to Mr Abbas he expressed his disappointment as he was asked by ground staff to change his seat   UM was seated on 20A next to 2 male customers and once crew noticed it ground staff was asked to reall,Duty Free Items,,251
"After take off, and during the service, Mr Alkaabi has asked for the purser  While I was so busy with a serious medical case in YC, I asked my colleagues to inform Mr Alkaabi that I will be there within five minutes as it was not urgent  Less than 5 m",Special Offers,,251
customer refuse to listen to crew instructions regarding changing baby near the seat causing the area to smell and also placed baby on the floor during cruise   During  cruise customer placed his baby on the floor  Customer and his wife also changed t,Duty Free Items,,251
"COMPLAINED ABOUT PREVIOUS FLIGHT     Customer complained that his previous flight was pretty bad due to turbulence and kids vomiting , when boarding customer asked for an upgrade,   I have asked Mr Mazey, if he would like to use his miles or payment t",Duty Free Items,,251
"When opening DF1033 I found that the previous flight had not been closed on the HHC BA00792   Inbound crew member 438196 had already entered the closing seal numbers, but did not log out of the HHC   I had to log her out in order to open my flight on",Duty Free Items,,250
"Amanda Fedjki (431279) on the flight EK007 logged in for both EK007 and EK008, hence I, Kemal Gider (448834) could not log in for the flight EK008 on my name   The seals that were put on one of the container and DF cart did not match the seals on HHC",Seals,,250
The customer signs on Duty Free receipt 3 times completely different then the signature on the back of his credit card   Crew members who witnessed the wrong signature are: 1 Suzanne (226461)  Purser 2 Ovidiu (376884)   Cabin Supervisor 3 Stéphane (,DF not done,,250
Duty Free Items found missing when counting the content of cart and container belonging to R1 crew   Duty Free cart and container number with items missing is DF 047   Crew member Jose Moreno Corpas 414090 operating the Duty free cart 047 found 9 ite,Duty Free Items,,250
I placed Item  2153 1 OGON  carbon card clip in the wrong DF cart (1348) by me instead of my Df cart   The stock shows 2 available in DF cart (137) however only one will be there and the missing one is in the other DF cart (138) so the stock for this,Duty Free Items,,250
The duty free carts in the aircraft was from the Melbourne Dubai sector as there was an aircraft change from Melbourne   Due to this the duty free operator Mia staff no 455567 and Nancy staff no 456574 was not able to log in the handheld computer The,DF not done,,250
Please note that during cruise FG1 Martina Hirkalova  418453 informed me that item number 2120 from drawer 8 Playing cards 1 were found missing from DF 079   Martina was counting her duty free cart went noticed that the item was missing and there was,Duty Free Items,,250
"item number 2023 ,timex weekender gents watch Duty free Cart number DF024 was found to be defective after the item was sold  The cost of the Item was refunded back to the customer and the item was returned back to DF cart number DF024   A new piece w",Duty Free Items,,250
